iter	Accuracy	Logloss
604	0.9116	0.2904400796
605	0.9118	0.2901998525
606	0.9119	0.2899477466
607	0.9119	0.2898759239
608	0.9123	0.2895668354
609	0.9122	0.2892568027
610	0.9124	0.2891325231
611	0.9126	0.2890459085
612	0.9125	0.2888115645
613	0.9125	0.2885132964
614	0.9127	0.2882820808
615	0.9128	0.2881158242
616	0.9132	0.287993728
617	0.9132	0.2876004402
618	0.9134	0.2873359163
619	0.9136	0.2870170698
620	0.9137	0.2866739997
621	0.9142	0.2862615541
622	0.9141	0.2860511868
623	0.9141	0.2858217568
624	0.9144	0.2854577899
625	0.9149	0.2852824158
626	0.9155	0.2850181388
627	0.9157	0.2848167455
628	0.9155	0.2846553693
629	0.9158	0.2844448536
630	0.916	0.2842261223
631	0.916	0.2838647883
632	0.9161	0.2836803646
633	0.916	0.2835189333
634	0.9167	0.2832702515
635	0.9168	0.2831321061
636	0.9167	0.2830047415
637	0.917	0.2829535187
638	0.9173	0.2827109274
639	0.9174	0.2826115734
640	0.9174	0.2824983568
641	0.9174	0.2823280922
642	0.9179	0.2820061001
643	0.9179	0.2817585281
644	0.918	0.2814203997
645	0.9182	0.2812118083
646	0.9185	0.2810733688
647	0.919	0.2807821311
648	0.9193	0.2806181816
649	0.9194	0.2804141429
650	0.92	0.2801369617
651	0.9204	0.279772494
652	0.9205	0.2795331098
653	0.9205	0.2794018967
654	0.9204	0.2792204974
655	0.9202	0.2788949419
656	0.9205	0.2786822095
657	0.9205	0.2783120008
658	0.9204	0.2780803378
659	0.9209	0.2777690893
660	0.9211	0.2774184341
661	0.9217	0.2772136042
662	0.9226	0.2766835483
663	0.9229	0.2764364645
664	0.9232	0.2761047165
665	0.9233	0.2758989158
666	0.9234	0.2758118966
667	0.9239	0.2754911473
668	0.9244	0.2752483647
669	0.9244	0.2749994507
670	0.9243	0.2747435965
671	0.9244	0.2744569283
672	0.9252	0.2741070175
673	0.9257	0.2739592253
674	0.9259	0.2738004243
675	0.9258	0.2737698985
676	0.9266	0.2733800386
677	0.9266	0.2730854037
678	0.927	0.2728674309
679	0.9267	0.2725802717
680	0.927	0.2722806895
681	0.9276	0.2720572891
682	0.9276	0.271901327
683	0.9277	0.2716637757
684	0.9279	0.2714658521
685	0.9276	0.2710735819
686	0.9285	0.2706207073
687	0.9287	0.2704359393
688	0.9285	0.2702296193
689	0.9288	0.2699808579
690	0.9291	0.2697817594
691	0.9295	0.2696086295
692	0.9297	0.2694765717
693	0.9298	0.2692588856
694	0.9302	0.2690836635
695	0.9301	0.2687826411
696	0.9303	0.2686797202
697	0.9306	0.2684627332
698	0.9305	0.2681611365
699	0.9308	0.2679003472
700	0.9309	0.2676756275
701	0.9314	0.2674617278
702	0.9315	0.2673307576
703	0.9319	0.2670238558
704	0.932	0.2667398492
705	0.9323	0.2665076297
706	0.9323	0.2661776054
707	0.9326	0.2658916186
708	0.9331	0.2655797695
709	0.9333	0.2654967322
710	0.9335	0.2651195853
711	0.9336	0.2649085921
712	0.934	0.2645475983
713	0.9342	0.264360874
714	0.9342	0.2642246541
715	0.9342	0.2640973079
716	0.9344	0.2640118974
717	0.9344	0.2637320495
718	0.9347	0.2634303444
719	0.9347	0.2631920627
720	0.9345	0.2629077765
721	0.9345	0.2626004194
722	0.9344	0.2623688061
723	0.9353	0.2621433592
724	0.9356	0.2616559192
725	0.9357	0.2612716727
726	0.936	0.2609020507
727	0.9359	0.2605919449
728	0.9359	0.2604108
729	0.9367	0.2600655373
730	0.9371	0.2596599483
731	0.9374	0.2593714008
732	0.9378	0.2591171709
733	0.9379	0.2589854944
734	0.938	0.2587655643
735	0.9384	0.258541964
736	0.9384	0.2582145271
737	0.9382	0.2581102118
738	0.9386	0.257874604
739	0.9388	0.257650497
740	0.9387	0.2574929368
741	0.9388	0.2572606777
742	0.9392	0.2568545696
743	0.9397	0.2565391272
744	0.9397	0.2564015204
745	0.9402	0.256214084
746	0.9402	0.2561341973
747	0.9402	0.2559182024
748	0.9404	0.2557144808
749	0.9406	0.2554634846
750	0.9406	0.2551324684
751	0.941	0.2548345773
752	0.9412	0.254716202
753	0.9407	0.254478283
754	0.9412	0.2542609978
